#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1642012620.058577,58577,2,0,0,0,97385124,93020008,93299292,4136,818372,5500,328072,608504,27040,268492,301032,340012,0,0,8388604,8172796,0,0,110160,64544,181464,342472,166280,176192,14400,7236,0,0,0,57081164,1403028,34359738367,583720,34308612092,54400,0,59392,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012620.052065,52065,3,0,0,0,3878020,3200588,3407028,2088,432092,0,292260,213228,83472,29596,208788,183632,0,0,0,0,0,0,71308,70904,41760,72296,45704,26592,3040,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012620.052203,52203,4,0,0,0,1813712,88488,1234128,2068,1307296,0,554468,1028136,298760,37000,255708,991136,0,0,0,0,8,0,273240,40400,62520,81544,59380,22164,2800,7044,0,0,0,906856,646516,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012620.051804,51804,5,0,0,0,3878040,197092,1142344,2068,1162068,0,2933576,565872,2346972,30064,586604,535808,0,0,0,0,0,0,2335332,79880,41724,86144,63172,22972,2992,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
1642012680.058136,58136,1,0,0,0,97385144,32674424,93221276,4300,60569568,5560,44406728,16276264,17344,321304,44389384,15954960,0,0,8388604,8192508,0,0,106672,67276,229524,940260,759956,180304,14208,7180,0,0,0,57081176,1323428,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,539016,9564160,91226112
1642012680.055228,55228,0,0,0,0,97387748,86788840,93409720,180568,6775332,8876,439552,6594784,79372,14044,360180,6580740,0,0,8388604,6280312,0,0,72140,53492,14980,369812,237416,132396,10704,8600,0,0,0,57082476,3008928,34359738367,576596,34308614140,51200,0,24576,0,0,0,0,0,0,2048,439668,10711040,90177536
1642012680.058131,58131,2,0,0,0,97385124,93019132,93298424,4144,818372,5500,328000,608500,26968,268480,301032,340020,0,0,8388604,8172796,0,0,109496,64544,181464,342696,166280,176416,14400,7236,0,0,0,57081164,1403028,34359738367,583720,34308612092,54400,0,59392,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012680.051937,51937,3,0,0,0,3878020,3200688,3407128,2088,432092,0,292292,213228,83504,29596,208788,183632,0,0,0,0,0,0,71364,70904,41760,72320,45704,26616,3040,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012680.051928,51928,4,0,0,0,1813712,88624,1234300,2068,1307332,0,554476,1028164,298760,37000,255716,991164,0,0,0,0,252,0,273240,40388,62520,81544,59380,22164,2784,7040,0,0,0,906856,646516,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012680.052061,52061,5,0,0,0,3878040,197216,1142468,2068,1162068,0,2933412,565872,2346808,30064,586604,535808,0,0,0,0,0,0,2335148,79880,41724,86144,63172,22972,2992,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
1642012740.05743,57430,1,0,0,0,97385144,32668460,93215312,4300,60569568,5560,44411668,16276264,22284,321304,44389384,15954960,0,0,8388604,8192508,0,0,110216,67280,229524,940260,759956,180304,14208,7180,0,0,0,57081176,1323428,34359738367,583720,34308612092,54400,0,61440,0,0,0,0,0,0,2048,539016,9564160,91226112
1642012740.054328,54328,0,0,0,0,97387748,83644736,90266684,180628,6776496,8876,3394136,6595776,3033956,13812,360180,6581964,0,0,8388604,6280312,24,0,3027424,53484,14980,401884,237260,164624,15408,136592,0,0,0,57082476,10645832,34359738367,576596,34308614140,51200,0,26624,0,0,0,0,0,0,2048,439668,10711040,90177536
1642012740.057925,57925,2,0,0,0,97385124,93016948,93296248,4152,818372,5500,328080,608416,27048,268388,301032,340028,0,0,8388604,8172796,0,0,107940,64544,181464,342312,166280,176032,14400,7236,0,0,0,57081164,1403288,34359738367,583720,34308612092,54400,0,59392,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012740.052302,52302,5,0,0,0,3878040,197548,1142848,2068,1162116,0,2934712,565040,2347228,30064,587484,534976,0,0,0,0,0,4,2335644,79880,41724,86172,63176,22996,3008,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
1642012740.051951,51951,4,0,0,0,1813712,72268,1232904,2068,1323128,0,562128,1037152,299608,37000,262520,1000152,0,0,0,0,176,0,274068,40404,62520,80992,57716,23276,2832,7136,0,0,0,906856,646516,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012740.052197,52197,3,0,0,0,3878020,3200708,3407148,2088,432092,0,292260,213228,83472,29596,208788,183632,0,0,0,0,0,0,71308,70904,41760,72192,45704,26488,3024,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012800.057314,57314,1,0,0,0,97385144,32671456,93218308,4300,60569568,5560,44413560,16276280,24176,321320,44389384,15954960,0,0,8388604,8192508,0,0,113616,67280,229524,940244,759956,180288,14208,7180,0,0,0,57081176,1323856,34359738367,583720,34308612092,54400,0,59392,0,0,0,0,0,0,2048,539016,9564160,91226112
